agent_id,call_type_id,call_time
1001,1,3.96
1001,1,14.81
1001,1,4.78
1001,1,4.11
1001,1,7.11
1001,1,7.21
1001,1,4.72
1001,1,6.6
1001,1,4.84
1001,1,4.99
1001,1,7.77
1001,1,4.57
1001,1,5.57
1001,1,5.88
1001,1,5.32
1001,1,5.27
1001,1,14.96
1001,1,6.65
1001,1,10.78
1001,1,7.86
1001,1,8.78
1001,1,9.5
1001,1,7.01
1001,1,6.01
1001,1,10.57
1001,1,9.87
1001,1,11.03
1001,1,4.47
1001,1,5.83
1001,1,6.76
1001,1,13.88
1001,1,6.67
1001,1,9.95
1001,1,3.72
1001,1,7.56
1001,1,7.51
1001,1,10.85
1001,1,6.53
1001,1,12.35
1001,1,4.68
1001,1,5.1
1001,1,14.09
1001,1,11.99
1001,1,7.16
1001,1,3.65
1001,1,3.57
1001,1,5.05
1001,1,6.84
1001,1,9.88
1001,1,10.86
1001,1,7.9
1001,1,4.87
1001,1,6.29
1001,1,4.39
1001,1,5.37
1001,1,9.11
1001,1,10.9
1001,1,5.61
1001,1,7.77
1001,1,4.66
1001,1,3.84
1001,1,9.45
1001,1,6
1001,1,6.05
1001,1,4.51
1001,1,8.32
1001,1,6.54
1001,1,13.37
1001,1,3.39
1001,1,11.53
1001,1,7.64
1001,1,3.45
1001,1,12.03
1001,1,5.28
1001,1,10.04
1001,1,10.15
1001,1,4.41
1001,1,7.94
1001,1,6.74
1001,1,3.76
1001,1,9.05
1001,1,3.86
1001,1,7.05
1001,1,3.96
1001,1,8.42
1001,1,6.86
1001,1,8.31
1001,1,9.27
1001,1,10.1
1001,1,5.85
1001,1,4.65
1001,1,6.12
1001,1,7.35
1001,1,5.7
1001,1,4.61
1001,1,7.72
1001,1,9.23
1001,1,5.06
1001,1,10.11
1001,1,5.14
1001,1,9.13
1001,1,4.79
1001,1,6.88
1001,1,13.4
1001,1,12.14
1001,1,5.41
1001,1,6.29
1001,1,8.64
1001,1,7.98
1001,1,8.86
1001,1,6.1
1001,2,4.92
1001,2,5.97
1001,2,6.37
1001,2,4.36
1001,2,10.13
1001,2,6.11
1001,2,8.15
1001,2,11.67
1001,2,4.81
1001,2,5.8
1001,2,5.81
1001,2,17.83
1001,2,11.23
1001,2,17.76
1001,2,5.64
1001,2,6.95
1001,2,6.71
1001,2,13.27
1001,2,13.6
1001,2,5.25
1001,2,10.79
1001,2,7.45
1001,2,5.11
1001,2,11
1001,2,9.74
1001,2,7.35
1001,2,5.04
1001,2,5.64
1001,2,11.39
1001,2,7.85
1001,2,5.38
1001,2,6.21
1001,2,5.04
1001,2,13.61
1001,2,5.98
1001,2,6.78
1001,2,9.48
1001,2,19.16
1001,2,3.41
1001,2,6.54
1001,2,12.42
1001,2,6.77
1001,2,16.99
1001,2,8.32
1001,2,7.34
1001,2,10.87
1001,2,10.52
1001,2,6.86
1001,2,3.91
1001,2,8.84
1001,2,14.81
1001,2,8.09
1001,2,13.13
1001,2,7.37
1001,2,6.83
1001,2,16.04
1001,2,15.66
1001,2,11.58
1001,2,5.36
1001,2,6
1001,2,6
1001,2,12.33
1001,2,4.85
1001,2,4.28
1001,2,8.74
1001,2,5.69
1001,2,17.02
1001,2,15.82
1001,2,12
1001,2,6.51
1001,2,16.54
1001,2,18.25
1001,2,9.59
1001,2,6.95
1001,2,5.92
1001,2,10.55
1001,2,11.41
1001,2,7.14
1001,2,10.65
1001,2,7.68
1001,2,7.19
1001,2,9.3
1001,2,14.26
1001,2,7.68
1001,2,4.19
1001,2,7.62
1001,2,8.7
1001,2,8.38
1001,2,6.56
1001,2,12.48
1001,2,5.33
1001,2,4.27
1001,2,12.42
1001,2,15.08
1001,2,5.16
1001,2,10.38
1001,2,3.43
1001,2,6.83
