dt,channel,costs
2017-01-01,Ad Network  B,312.0
2017-01-02,Ad Network  B,292.0
2017-01-03,Ad Network  B,275.5
2017-01-04,Ad Network  B,236.0
2017-01-05,Ad Network  B,238.5
2017-01-06,Ad Network  B,276.75
2017-01-07,Ad Network  B,274.0
2017-01-08,Ad Network  B,270.0
2017-01-09,Ad Network  B,234.75
2017-01-10,Ad Network  B,231.75
2017-01-11,Ad Network  B,210.25
2017-01-12,Ad Network  B,213.0
2017-01-13,Ad Network  B,183.5
2017-01-14,Ad Network  B,220.82500000000002
2017-01-15,Ad Network  B,224.4
2017-01-16,Ad Network  B,226.05
2017-01-17,Ad Network  B,217.8
2017-01-18,Ad Network  B,205.70000000000002
2017-01-19,Ad Network  B,192.775
2017-01-20,Ad Network  B,215.32500000000002
2017-01-21,Ad Network  B,221.925
2017-01-22,Ad Network  B,232.10000000000002
2017-01-23,Ad Network  B,208.45000000000002
2017-01-24,Ad Network  B,199.37500000000003
2017-01-25,Ad Network  B,211.47500000000002
2017-01-26,Ad Network  B,216.15
2017-01-27,Ad Network  B,231.275
2017-01-28,Ad Network  B,236.22500000000002
2017-01-29,Ad Network  B,323.95000000000005
2017-01-30,Ad Network  B,283.25
2017-01-31,Ad Network  B,244.20000000000002
2017-02-01,Ad Network  B,257.95000000000005
2017-02-02,Ad Network  B,288.75
2017-02-03,Ad Network  B,245.3
2017-02-04,Ad Network  B,321.75
2017-02-05,Ad Network  B,330.82500000000005
2017-02-06,Ad Network  B,334.125
2017-02-07,Ad Network  B,261.45
2017-02-08,Ad Network  B,273.2625
2017-02-09,Ad Network  B,260.40000000000003
2017-02-10,Ad Network  B,281.925
2017-02-11,Ad Network  B,294.52500000000003
2017-02-12,Ad Network  B,311.58750000000003
2017-02-13,Ad Network  B,282.975
2017-02-14,Ad Network  B,243.8625
2017-02-15,Ad Network  B,226.01250000000002
2017-02-16,Ad Network  B,234.9375
2017-02-17,Ad Network  B,274.83750000000003
2017-02-18,Ad Network  B,314.7375
2017-02-19,Ad Network  B,297.4125
2017-02-20,Ad Network  B,267.225
2017-02-21,Ad Network  B,276.4125
2017-02-22,Ad Network  B,250.425
2017-02-23,Ad Network  B,294.52500000000003
2017-02-24,Ad Network  B,259.08750000000003
2017-02-25,Ad Network  B,276.9375
2017-02-26,Ad Network  B,275.1
2017-02-27,Ad Network  B,258.3
2017-02-28,Ad Network  B,250.95000000000002
2017-03-01,Ad Network  B,238.35000000000002
2017-03-02,Ad Network  B,217.0875
2017-03-03,Ad Network  B,211.375
2017-03-04,Ad Network  B,231.325
