dt,channel,costs
2019-08-08,FaceNotebook,891.0
2019-08-09,FaceNotebook,1026.3
2019-08-10,FaceNotebook,1128.6
2019-08-11,FaceNotebook,1009.8
2019-08-12,FaceNotebook,1112.1
2019-08-13,FaceNotebook,841.5
2019-08-14,FaceNotebook,877.8
2019-08-15,FaceNotebook,1062.6
2019-08-16,FaceNotebook,1092.3
2019-08-17,FaceNotebook,1240.8
2019-08-18,FaceNotebook,1171.5
2019-08-19,FaceNotebook,1069.2
2019-08-20,FaceNotebook,917.4
2019-08-21,FaceNotebook,943.8
2019-08-22,FaceNotebook,894.3
2019-08-23,FaceNotebook,1115.3999999999999
2019-08-24,FaceNotebook,1267.1999999999998
2019-08-25,FaceNotebook,1052.7
2019-08-26,FaceNotebook,1052.7
2019-08-27,FaceNotebook,1062.6
2019-08-28,FaceNotebook,990.0
2019-08-29,FaceNotebook,999.9
2019-08-30,FaceNotebook,1145.1
2019-08-31,FaceNotebook,1069.2
2019-09-01,FaceNotebook,1056.0
2019-09-02,FaceNotebook,976.8
2019-09-03,FaceNotebook,841.5
2019-09-04,FaceNotebook,785.4
2019-09-05,FaceNotebook,993.3
2019-09-06,FaceNotebook,924.0
2019-09-07,FaceNotebook,897.5999999999999
2019-09-08,FaceNotebook,811.8
2019-09-09,FaceNotebook,745.8
2019-09-10,FaceNotebook,887.6999999999999
2019-09-11,FaceNotebook,745.8
2019-09-12,FaceNotebook,729.3
2019-09-13,FaceNotebook,914.0999999999999
2019-09-14,FaceNotebook,1098.8999999999999
2019-09-15,FaceNotebook,1013.0999999999999
2019-09-16,FaceNotebook,861.3
2019-09-17,FaceNotebook,976.8
2019-09-18,FaceNotebook,990.0
2019-09-19,FaceNotebook,1085.7
2019-09-20,FaceNotebook,1329.8999999999999
2019-09-21,FaceNotebook,1287.0
2019-09-22,FaceNotebook,1461.8999999999999
2019-09-23,FaceNotebook,1316.6999999999998
2019-09-24,FaceNotebook,1306.8
2019-09-25,FaceNotebook,1188.0
2019-09-26,FaceNotebook,1237.5
2019-09-27,FaceNotebook,1560.8999999999999
2019-09-28,FaceNotebook,1554.3
2019-09-29,FaceNotebook,1455.3
2019-09-30,FaceNotebook,1353.0
2019-10-01,FaceNotebook,1303.5
2019-10-02,FaceNotebook,1181.3999999999999
2019-10-03,FaceNotebook,1369.5
2019-10-04,FaceNotebook,1333.1999999999998
2019-10-05,FaceNotebook,1382.6999999999998
2019-10-06,FaceNotebook,1409.1
2019-10-07,FaceNotebook,1138.5
2019-10-08,FaceNotebook,1016.4
2019-10-09,FaceNotebook,904.1999999999999
2019-10-10,FaceNotebook,1105.5
2019-10-11,FaceNotebook,1122.0
2019-10-12,FaceNotebook,1118.7
2019-10-13,FaceNotebook,1003.1999999999999
2019-10-14,FaceNotebook,815.0999999999999
2019-10-15,FaceNotebook,844.8
2019-10-16,FaceNotebook,739.1999999999999
2019-10-17,FaceNotebook,825.0
2019-10-18,FaceNotebook,1072.5
2019-10-19,FaceNotebook,1089.0
2019-10-20,FaceNotebook,1181.3999999999999
2019-10-21,FaceNotebook,1151.7
2019-10-22,FaceNotebook,884.4
2019-10-23,FaceNotebook,940.5
2019-10-24,FaceNotebook,1148.3999999999999
2019-10-25,FaceNotebook,1310.1
2019-10-26,FaceNotebook,1280.3999999999999
2019-10-27,FaceNotebook,1234.2
2019-10-28,FaceNotebook,1230.8999999999999
2019-10-29,FaceNotebook,1359.6
2019-10-30,FaceNotebook,1118.7
2019-10-31,FaceNotebook,1313.3999999999999
2019-11-01,FaceNotebook,1217.7
2019-11-02,FaceNotebook,1369.5
2019-11-03,FaceNotebook,1293.6
2019-11-04,FaceNotebook,1452.0
2019-11-05,FaceNotebook,1197.8999999999999
2019-08-08,Gooble,855.6
2019-08-09,Gooble,1013.7
2019-08-10,Gooble,1001.3000000000001
2019-08-11,Gooble,967.2
2019-08-12,Gooble,995.1
2019-08-13,Gooble,802.9
2019-08-14,Gooble,771.9
2019-08-15,Gooble,880.4
2019-08-16,Gooble,1063.3
2019-08-17,Gooble,1190.4
2019-08-18,Gooble,1187.3
2019-08-19,Gooble,1088.1000000000001
2019-08-20,Gooble,796.7
2019-08-21,Gooble,926.9
2019-08-22,Gooble,883.5
2019-08-23,Gooble,1001.3000000000001
2019-08-24,Gooble,1075.7
2019-08-25,Gooble,1075.7
2019-08-26,Gooble,982.7
2019-08-27,Gooble,1035.4
2019-08-28,Gooble,967.2
2019-08-29,Gooble,926.9
2019-08-30,Gooble,939.3000000000001
2019-08-31,Gooble,939.3000000000001
2019-09-01,Gooble,1032.3
2019-09-02,Gooble,874.2
