date,impressions,clicks,registrations,ctr,cr
2019-08-01,6153,61,6,0.009913863156183976,0.09836065573770492
2019-08-02,8254,81,6,0.009813423794523867,0.07407407407407407
2019-08-03,4434,43,4,0.009697789806044204,0.09302325581395349
2019-08-04,9510,79,7,0.008307045215562565,0.08860759493670886
2019-08-05,7167,70,6,0.009766987581972931,0.08571428571428572
2019-08-06,9188,87,9,0.009468872442316064,0.10344827586206896
2019-08-07,7941,61,5,0.007681652184863367,0.08196721311475409
2019-08-08,9632,83,6,0.008617109634551494,0.07228915662650602
2019-08-09,4948,40,4,0.008084074373484237,0.1
2019-08-10,8756,76,6,0.00867976244860667,0.07894736842105263
2019-08-11,9399,86,7,0.009149909564847325,0.08139534883720931
2019-08-12,8404,69,6,0.008210376011423132,0.08695652173913043
2019-08-13,9682,78,6,0.008056186738277215,0.07692307692307693
2019-08-14,8163,61,4,0.0074727428641430844,0.06557377049180328
2019-08-15,7176,51,5,0.007107023411371237,0.09803921568627451
2019-08-16,6780,60,5,0.008849557522123894,0.08333333333333333
2019-08-17,9996,88,8,0.008803521408563426,0.09090909090909091
2019-08-18,6983,64,5,0.00916511527996563,0.078125
2019-08-19,9211,90,7,0.009770926066659429,0.07777777777777778
2019-08-20,6678,59,6,0.00883498053309374,0.1016949152542373
2019-08-21,5519,43,3,0.007791266533792354,0.06976744186046512
2019-08-22,5933,50,4,0.008427439743805831,0.08
2019-08-23,6766,54,5,0.007981081879988175,0.09259259259259259
2019-08-24,9958,74,7,0.007431211086563567,0.0945945945945946
2019-08-25,5846,54,5,0.009237085186452275,0.09259259259259259
2019-08-26,6670,66,5,0.009895052473763119,0.07575757575757576
2019-08-27,7878,73,5,0.009266311246509267,0.0684931506849315
2019-08-28,6157,53,5,0.008608088354718208,0.09433962264150944
2019-08-29,5995,53,4,0.00884070058381985,0.07547169811320754
2019-08-30,8256,62,6,0.0075096899224806205,0.0967741935483871
