Пол,Возраст,Путешествует с детьми,Путешествует по работе,Тип,Расстояние,Покупка билета онлайн,Питание включено,Наличие wifi,Оценка комфортности места,Оценка качества уборки,Оценка качества обслуживания в пути,Удовлетворён предоставленной услугой,Оценка комфортности покупки билета онлайн,Оценка качества питания,Оценка качества wifi,Оценка комфортности времени отправления/прибытия,Общая оценка качества предоставленной услуги
муж,28,нет,да,купе,2415,1,0,1,4,4,3,1,плохо,отсутствует,нормально,плохо,хорошо
муж,51,да,нет,плацкарт,973,1,0,1,4,4,5,1,нормально,отсутствует,хорошо,хорошо,хорошо
жен,36,нет,да,плацкарт,1416,1,1,0,2,2,3,1,нормально,плохо,отсутствует,нормально,нормально
жен,58,да,да,св,703,1,0,1,3,3,2,1,нормально,отсутствует,плохо,нормально,нормально
жен,46,нет,нет,плацкарт,162,1,1,1,1,2,3,1,нормально,плохо,нормально,нормально,хорошо
жен,62,нет,нет,плацкарт,207,1,1,0,2,1,2,1,плохо,нормально,отсутствует,нормально,нормально
муж,26,нет,да,плацкарт,1583,1,1,0,4,1,3,1,плохо,плохо,отсутствует,плохо,нормально
муж,46,нет,нет,плацкарт,664,1,1,1,2,2,5,1,нормально,плохо,плохо,хорошо,нормально
жен,41,нет,да,св,552,1,1,1,4,4,3,1,хорошо,нормально,хорошо,хорошо,хорошо
муж,49,нет,да,плацкарт,456,1,1,0,1,1,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,25,нет,нет,плацкарт,537,0,1,0,2,2,4,1,отсутствует,плохо,отсутствует,хорошо,хорошо
жен,32,да,нет,плацкарт,716,0,1,0,3,3,3,1,отсутствует,нормально,отсутствует,нормально,хорошо
муж,43,нет,да,плацкарт,629,1,1,1,4,4,4,1,плохо,нормально,плохо,плохо,хорошо
муж,56,нет,да,плацкарт,1866,1,1,1,3,3,3,1,нормально,нормально,плохо,нормально,нормально
муж,42,да,да,св,768,1,0,1,4,4,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,50,нет,нет,плацкарт,295,1,1,1,4,1,1,1,нормально,плохо,плохо,хорошо,нормально
муж,25,нет,да,плацкарт,600,1,0,0,3,3,2,1,нормально,отсутствует,отсутствует,нормально,нормально
