name,address,hours,lat,lng,rating,district
Капитолий,"Москва, Правобережная улица, 1Б","ежедневно, 10:00–22:00",55.880803,37.449824,4.7,Северный административный округ
Dexter,"Москва, МКАД, 78-й километр, 14, корп. 1","ежедневно, 10:00–21:00",55.893082,37.501263,4.3,Северный административный округ
РИО,"Москва, Дмитровское шоссе, 163А, корп. 1","ежедневно, 10:00–22:00",55.909388,37.539546,4.8,Северо-Восточный административный округ
Экстрим,"Москва, Смольная улица, 63Б","ежедневно, 10:00–21:00",55.869937,37.469915,4.7,Северный административный округ
Discovery,"Москва, улица Дыбенко, 7/1","ежедневно, 09:00–21:00",55.878662,37.479251,4.3,Северный административный округ
Декстер,"Москва, МКАД, 78-й километр, 14к1","ежедневно, 10:00–21:00",55.893181,37.50108,4.3,Северный административный округ
Торговый центр Бусиново,"Москва, улица Маршала Федоренко, 12","ежедневно, 09:00–23:00",55.881743,37.488798,4.1,Северный административный округ
Зиг-Заг,"Москва, Лобненская улица, 4А","ежедневно, 10:00–21:00",55.889741,37.538414,4.3,Северный административный округ
Бусинка,"Москва, улица Бусиновская Горка, 2с3",nan,55.882978,37.495826,3.8,Северный административный округ
Зодиак,"Москва, Лобненская улица, 14","ежедневно, 08:00–23:00",55.893918,37.52509,3.7,Северный административный округ
Северный,"Москва, Зеленоградская улица, 18А","ежедневно, 09:00–22:00",55.869583,37.507801,4.4,Северный административный округ
Весна,"Москва, Алтуфьевское шоссе, 1-й километр, вл3с1","ежедневно, 10:00–22:00",55.913052,37.584917,4.9,
Маркос-Молл,"Москва, Алтуфьевское шоссе, 70, корп. 1","ежедневно, 10:00–22:00",55.8883,37.588462,4.4,Северо-Восточный административный округ
Место встречи Будапешт,"Москва, улица Лескова, 14","ежедневно, 10:00–22:00",55.897419,37.604505,4.6,Северо-Восточный административный округ
ТЦ Алтуфьево,"Москва, Алтуфьевское шоссе, 95","ежедневно, 08:00–23:00",55.901984,37.585843,4.2,Северо-Восточный административный округ
Александр Лэнд,"Москва, улица Пришвина, 22","пн-пт 10:00–21:00; сб,вс 10:00–22:00",55.885702,37.602471,4.5,Северо-Восточный административный округ
Место встречи Марс,"Москва, Инженерная улица, 1","ежедневно, 10:00–22:00",55.878849,37.582266,4.5,Северо-Восточный административный округ
Весна,"Москва, МКАД, 84-й километр, вл1","ежедневно, 10:00–22:00",55.91113,37.587081,4.9,
Ареал,"Москва, Алтуфьевское шоссе, 86, корп. 1","ежедневно, 09:00–22:00",55.897734,37.588207,4.1,Северо-Восточный административный округ
Наш,"Москва, Алтуфьевское шоссе, 72",nan,55.890204,37.588038,1.4,Северо-Восточный административный округ
Петровский,"Москва, Дубнинская улица, 30","ежедневно, 10:00–22:00",55.877447,37.559002,4.8,Северный административный округ
Лианозово,"Москва, Лианозовский проезд, вл1Г","ежедневно, 09:00–02:00",55.897526,37.554184,1.4,Северо-Восточный административный округ
Арфа,"Москва, Алтуфьевское шоссе, 80","ежедневно, 08:00–23:00",55.894351,37.587923,4.1,Северо-Восточный административный округ
Мебель Сити,"Москва, Дмитровское шоссе, 118, корп. 1","пн-пт 11:00–21:00; сб,вс 10:00–21:00",55.905814,37.543864,4.2,Северо-Восточный административный округ
Час Пик,"Москва, МКАД, 87-й километр, 8","ежедневно, 10:00–22:00",55.898588,37.628959,4.4,Северо-Восточный административный округ
Торговый центр,"Москва, Мурановская улица, 9","ежедневно, 10:00–20:30",55.892697,37.599393,4.2,Северо-Восточный административный округ
XL-Эконом,"Москва, Дубнинская улица, 52, стр. 1","ежедневно, 10:00–20:00",55.895864,37.556653,4.0,Северный административный округ
Мульти,"Москва, улица 800-летия Москвы, 22, корп. 2","ежедневно, 09:00–21:00",55.879144,37.556695,4.3,Северный административный округ
Изумруд,"Москва, улица Пришвина, 3Г","ежедневно, 09:00–23:00",55.889699,37.594084,4.1,Северо-Восточный административный округ
Марка,"Москва, Инженерная улица, 5","ежедневно, 10:00–22:00",55.879282,37.579525,4.2,Северо-Восточный административный округ
РТС,"Москва, Дмитровское шоссе, 98С","ежедневно, 10:00–22:00",55.879268,37.547026,4.1,Северный административный округ
Обувной центр,"Москва, Алтуфьевское шоссе, 84","ежедневно, 10:00–21:00",55.89608,37.588047,3.8,Северо-Восточный административный округ
Торговый комплекс,"Москва, улица Плещеева, 4, корп. 1, стр. 1",nan,55.883192,37.604759,4.1,Северо-Восточный административный округ
Иринка,"Москва, Дубнинская улица, 50","ежедневно, 08:00–23:00",55.89353,37.558297,3.7,Северный административный округ
Мебель России,"Москва, улица Пришвина, 17","ежедневно, 10:00–21:00",55.887179,37.602592,4.3,Северо-Восточный административный округ
Мята,"Москва, Дубнинская улица, 32",nan,55.883507,37.558334,4.4,Северный административный округ
Летний сад,"Москва, Дмитровское шоссе, 107, корп. 1",nan,55.880398,37.543155,4.1,Северный административный округ
Гран Плюс,"Москва, улица Лескова, 19Ас2",nan,55.893824,37.617032,3.8,Северо-Восточный административный округ
ТД Висти,"Москва, Дубнинская улица, 75, стр. 1А","ежедневно, 07:00–22:00",55.885899,37.556499,3.6,Северный административный округ
Гран плюс,"Москва, улица Лескова, 19А","ежедневно, круглосуточно",55.89419,37.617231,3.8,Северо-Восточный административный округ
Гран плюс,"Москва, улица Плещеева, 4, корп. 1","ежедневно, 09:00–21:00",55.88316,37.605523,3.8,Северо-Восточный административный округ
Универсам,"Москва, улица Конёнкова, 19","ежедневно, 08:00–23:00",55.893304,37.610774,3.3,Северо-Восточный административный округ
Строймастер,"Москва, Дубнинская улица, 79, корп. 1",nan,55.890217,37.55561,3.0,Северный административный округ
Якорь,"Москва, улица Лескова, 26А",nan,55.894524,37.61323,2.7,Северо-Восточный административный округ
Клён,"Москва, Староватутинский проезд, 14","ежедневно, 10:00–22:00",55.875735,37.665401,4.1,Северо-Восточный административный округ
Ханой-Москва,"Москва, Ярославское шоссе, 146, корп. 1","ежедневно, 10:00–22:00",55.877748,37.730958,4.8,Северо-Восточный административный округ
