acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
0.00621,0.711,285987.0,0.621,0.0297,G,0.159,-7.428999999999999,Major,0.0382,142.065,0.607,Jazz
0.347,0.7290000000000001,103703.0,0.515,0.00692,C,0.127,-10.147,Major,0.184,79.969,0.287,Jazz
0.918,0.484,228733.0,0.0693,6.92e-05,F,0.139,-15.542,Major,0.0346,82.70700000000001,0.206,Jazz
0.0345,0.473,342867.0,0.823,0.446,G,0.306,-6.625,Major,0.063,104.694,0.3829999999999999,Jazz
0.501,0.921,151733.0,0.266,0.134,A#,0.109,-12.749,Minor,0.213,123.043,0.7609999999999999,Jazz
0.6990000000000001,0.58,282000.0,0.299,0.00386,A#,0.0805,-13.03,Major,0.0269,93.037,0.364,Jazz
0.765,0.696,-1.0,0.617,0.6509999999999999,A,0.1119999999999999,-7.973,Minor,0.0297,131.924,0.47,Jazz
0.495,0.6559999999999999,269800.0,0.32,0.0614,B,0.0765,-15.261,Minor,0.0348,91.368,0.573,Jazz
0.125,0.569,151607.0,0.87,0.893,A,0.397,-4.019,Minor,0.135,91.002,0.5,Jazz
0.000794,0.7490000000000001,329345.0,0.659,0.6679999999999999,G#,0.688,-8.881,Minor,0.0527,93.603,0.321,Jazz
0.0788,0.705,208027.0,0.7859999999999999,0.938,G,0.19,-7.77,Minor,0.0315,115.126,0.6679999999999999,Jazz
0.151,0.779,214489.0,0.742,0.0017399999999999,G,0.126,-7.36,Major,0.0412,91.035,0.358,Jazz
0.472,0.7090000000000001,236733.0,0.489,0.0,E,0.08,-9.15,Major,0.0661,81.62,0.629,Jazz
0.98,0.509,149067.0,0.00672,0.00301,G#,0.0842,-30.4,Major,0.0408,127.161,0.327,Jazz
0.0372,0.3939999999999999,351387.0,0.631,0.00581,A,0.0817,-6.39,Minor,0.159,85.553,0.3979999999999999,Jazz
0.00729,0.44,340000.0,0.809,0.0094,A,0.0949,-8.963,Major,0.0836,169.765,0.7390000000000001,Jazz
0.8170000000000001,0.534,262627.0,0.0123,2.2e-05,C,0.0822,-26.88,Minor,0.0646,77.084,0.254,Jazz
0.748,0.423,292067.0,0.251,0.2339999999999999,C,0.118,-17.635,Major,0.0379,90.386,0.182,Jazz
0.5660000000000001,0.57,467760.0,0.291,0.0283,F#,0.0453,-13.953,Major,0.0425,106.247,0.423,Jazz
0.385,0.395,426173.0,0.691,0.903,A,0.132,-11.898,Minor,0.0392,128.879,0.0968,Jazz
0.8640000000000001,0.507,-1.0,0.5660000000000001,4.55e-06,D,0.0676,-9.446,Major,0.111,86.036,0.706,Jazz
0.0699,0.695,180307.0,0.5920000000000001,0.8290000000000001,D,0.162,-7.158,Minor,0.0333,95.419,0.921,Jazz
0.735,0.557,-1.0,0.488,0.00652,C#,0.146,-9.451,Major,0.0413,105.001,0.449,Jazz
0.489,0.655,99209.0,0.426,0.000779,D#,0.151,-10.86,Major,0.0563,156.94899999999998,0.361,Jazz
0.00251,0.4629999999999999,307813.0,0.7959999999999999,0.778,C,0.593,-4.064,Major,0.0525,95.041,0.494,Jazz
0.445,0.715,197013.0,0.662,0.0,F,0.0813,-5.761,Minor,0.188,87.904,0.626,Jazz
0.525,0.632,277594.0,0.374,0.916,E,0.0871,-13.772,Minor,0.0711,179.928,0.631,Jazz
0.451,0.584,477547.0,0.574,0.939,C,0.121,-9.439,Minor,0.0255,107.02,0.182,Jazz
0.507,0.6859999999999999,170277.0,0.8,0.000549,C#,0.286,-7.279,Major,0.216,96.48,0.467,Jazz
0.8190000000000001,0.6,183693.0,0.278,4.55e-05,A#,0.415,-10.712,Minor,0.0431,95.532,0.6709999999999999,Jazz
0.467,0.605,-1.0,0.4579999999999999,5.98e-05,G#,0.109,-9.543,Major,0.0464,74.911,0.5329999999999999,Jazz
0.925,0.7240000000000001,-1.0,0.259,0.000106,B,0.102,-14.834,Minor,0.0316,119.898,0.42,Jazz
0.965,0.42,236280.0,0.0736,0.00117,C#,0.108,-16.387,Minor,0.0317,100.432,0.0977,Jazz
0.369,0.638,264957.0,0.7759999999999999,0.754,C,0.0826,-7.686,Major,0.0363,129.993,0.447,Jazz
