acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
0.5770000000000001,0.135,-1.0,0.3989999999999999,0.00104,E,0.115,-8.67,Minor,0.0361,87.476,0.0383,Rock
0.86,0.522,296387.0,0.256,0.000825,A#,0.142,-11.216,Major,0.0258,76.35,0.13,Rock
0.0409999999999999,0.5760000000000001,266040.0,0.659,0.0,A,0.0587,-5.617000000000001,Major,0.0383,94.853,0.7170000000000001,Rock
0.0512,0.742,203684.0,0.716,0.0,A,0.22,-6.654,Major,0.039,105.004,0.887,Rock
0.31,0.6940000000000001,187067.0,0.578,0.0,E,0.179,-11.309,Major,0.0713,122.446,0.907,Rock
0.254,0.511,262133.0,0.687,2.49e-06,C#,0.108,-4.328,Major,0.0326,139.995,0.172,Rock
0.344,0.856,216240.0,0.47,0.0,G,0.124,-8.467,Major,0.084,133.02,0.929,Rock
0.281,0.599,256147.0,0.7340000000000001,0.0,C,0.119,-4.615,Major,0.0355,118.928,0.243,Rock
0.00165,0.5479999999999999,-1.0,0.889,0.00109,A,0.1969999999999999,-4.682,Major,0.0382,90.04799999999999,0.425,Rock
0.0531,0.583,182800.0,0.833,5.5700000000000005e-05,C,0.16,-8.29,Major,0.0343,119.884,0.81,Rock
0.000821,0.516,161600.0,0.74,1.11e-06,F#,0.142,-4.879,Major,0.0418,108.986,0.515,Rock
0.018,0.573,225280.0,0.902,0.00125,F#,0.0928,-7.638,Minor,0.054,84.412,0.8759999999999999,Rock
0.000127,0.501,236427.0,0.8240000000000001,0.0003109999999999,C,0.0922,-7.25,Major,0.0413,89.97200000000001,0.57,Rock
0.0018899999999999,0.509,264707.0,0.774,0.000549,F#,0.143,-4.053999999999999,Major,0.0338,116.529,0.0824,Rock
0.00299,0.7390000000000001,188800.0,0.847,0.0,A,0.49,-3.709,Major,0.0682,100.003,0.539,Rock
0.0635,0.6779999999999999,172467.0,0.81,3.8e-06,G,0.0343,-5.665,Major,0.2789999999999999,74.964,0.804,Rock
0.575,0.706,237999.0,0.262,0.235,B,0.148,-11.890999999999998,Minor,0.0269,77.601,0.2689999999999999,Rock
0.722,0.524,278933.0,0.31,0.000765,F#,0.0729,-12.929,Minor,0.0333,83.931,0.289,Rock
0.00975,0.865,253230.0,0.623,0.000483,F#,0.0842,-7.315,Minor,0.0387,134.972,0.693,Rock
0.0233,0.505,214105.0,0.906,0.000992,E,0.353,-1.5930000000000002,Minor,0.0733,120.063,0.485,Rock
0.000376,0.315,288467.0,0.889,0.00241,C,0.133,-8.192,Major,0.0409999999999999,181.329,0.961,Rock
0.162,0.7559999999999999,341280.0,0.539,2.78e-05,C,0.373,-8.017000000000001,Major,0.0671,134.951,0.741,Rock
0.00326,0.238,363267.0,0.932,0.298,E,0.114,-5.809,Major,0.0912,150.899,0.186,Rock
0.163,0.4,324267.0,0.5579999999999999,3.76e-06,D#,0.0879,-7.393,Major,0.038,81.271,0.376,Rock
0.00253,0.63,-1.0,0.88,0.0,C#,0.209,-4.313,Major,0.0598,88.042,0.835,Rock
0.00413,0.5589999999999999,276707.0,0.912,0.0,F,0.0567,-6.799,Major,0.0608,103.13,0.653,Rock
0.048,0.534,230280.0,0.87,0.0,G,0.241,-3.582,Major,0.0344,131.688,0.8079999999999999,Rock
0.0195,0.644,164693.0,0.737,0.0,C#,0.141,-7.898,Major,0.033,131.504,0.821,Rock
