acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
0.000625,0.579,203733.0,0.662,3.89e-06,A,0.1169999999999999,-6.885,Major,0.0245,102.951,0.574,Rock
0.0019,0.368,236427.0,0.906,0.0,B,0.344,-2.892,Minor,0.1009999999999999,177.956,0.6920000000000001,Rock
0.0834,0.631,202880.0,0.847,0.0,D#,0.318,-4.782,Major,0.16,141.965,0.7040000000000001,Rock
0.0108,0.669,193573.0,0.916,0.0,B,0.652,-4.228,Minor,0.0488,116.06,0.862,Rock
0.00434,0.271,309773.0,0.642,0.0781,D,0.118,-10.475,Major,0.0384,186.366,0.8190000000000001,Rock
0.629,0.531,354842.0,0.476,0.00257,F,0.0801,-11.328,Major,0.0345,130.232,0.239,Rock
0.0182,0.3779999999999999,339493.0,0.596,1.14e-05,F,0.144,-5.406000000000001,Major,0.0323,135.968,0.172,Rock
0.105,0.628,247507.0,0.555,0.0,F#,0.0707,-8.718,Major,0.0287,106.104,0.607,Rock
0.108,0.547,241987.0,0.695,0.00301,A,0.14,-4.968999999999999,Major,0.0337,144.684,0.6409999999999999,Rock
0.648,0.741,229782.0,0.521,8.94e-06,E,0.111,-8.725,Minor,0.0363,87.00299999999999,0.7829999999999999,Rock
0.284,0.575,-1.0,0.518,0.938,B,0.104,-8.933,Major,0.0282,124.029,0.439,Rock
0.0453,0.765,208213.0,0.8059999999999999,0.0129,C,0.0914,-4.464,Minor,0.0276,116.017,0.964,Rock
0.166,0.486,254293.0,0.45,2.06e-06,F,0.54,-10.298,Major,0.0267,100.456,0.55,Rock
0.0592,0.61,166613.0,0.726,0.00244,C,0.1639999999999999,-5.678999999999999,Major,0.0303,140.039,0.391,Rock
0.611,0.7140000000000001,208773.0,0.5489999999999999,1.18e-06,A,0.0887,-5.982,Major,0.0655,138.07,0.132,Rock
0.153,0.487,-1.0,0.667,0.0,G,0.161,-4.216,Minor,0.0309,145.85399999999998,0.4629999999999999,Rock
0.0271,0.691,222000.0,0.754,0.0719,B,0.8809999999999999,-8.136000000000001,Major,0.0372,144.085,0.924,Rock
0.011,0.757,280427.0,0.578,0.00672,C,0.127,-3.886,Major,0.0386,102.96,0.954,Rock
0.119,0.4639999999999999,218613.0,0.526,0.0,A,0.124,-9.982,Major,0.0448,109.605,0.754,Rock
0.1159999999999999,0.529,242007.0,0.638,0.0,C,0.0964,-7.104,Major,0.0301,169.96,0.504,Rock
0.0131,0.732,243333.0,0.858,0.000291,C,0.306,-7.587999999999999,Major,0.0426,121.46,0.588,Rock
0.434,0.429,-1.0,0.675,0.0,E,0.186,-5.296,Minor,0.0463,168.003,0.418,Rock
0.012,0.569,199000.0,0.616,1.28e-05,G,0.128,-6.408,Major,0.0274,127.862,0.347,Rock
0.2019999999999999,0.75,237747.0,0.365,0.0082,G,0.122,-6.7410000000000005,Major,0.0372,89.98100000000001,0.1009999999999999,Rock
0.114,0.322,508000.0,0.68,0.0245,A,0.434,-11.349,Major,0.061,142.748,0.518,Rock
0.491,0.545,288053.0,0.467,0.175,G#,0.0805,-10.862,Major,0.0305,113.713,0.444,Rock
0.351,0.522,253293.0,0.536,0.0,F,0.311,-6.73,Minor,0.145,75.054,0.294,Rock
0.1689999999999999,0.645,208107.0,0.941,0.0,E,0.251,-3.425,Minor,0.0448,106.015,0.8809999999999999,Rock
0.0158,0.5379999999999999,265920.0,0.77,0.214,F,0.0686,-7.376,Major,0.0487,127.103,0.238,Rock
0.211,0.581,272507.0,0.8170000000000001,1.42e-06,C,0.246,-6.542000000000001,Major,0.0382,141.607,0.779,Rock
0.818,0.517,163027.0,0.344,0.00809,A,0.0763,-9.925,Major,0.0303,75.285,0.2789999999999999,Rock
0.0372,0.597,214080.0,0.848,2.33e-05,C,0.122,-5.841,Major,0.0308,128.009,0.437,Rock
0.455,0.49,-1.0,0.8170000000000001,0.0,G#,0.0885,-5.405,Major,0.0355,168.115,0.8079999999999999,Rock
0.7190000000000001,0.718,-1.0,0.473,1.87e-05,G,0.128,-8.669,Minor,0.0784,102.018,0.367,Rock
0.213,0.706,240547.0,0.621,0.00208,F,0.253,-6.797000000000001,Major,0.0386,126.028,0.785,Rock
0.472,0.664,-1.0,0.7020000000000001,0.00352,B,0.107,-8.072000000000001,Major,0.188,119.852,0.526,Rock
0.0888,0.6970000000000001,180813.0,0.82,0.0,C#,0.143,-5.1080000000000005,Major,0.0575,104.022,0.655,Rock
0.00772,0.505,224333.0,0.833,7.900000000000001e-05,C,0.069,-4.632,Major,0.0475,130.121,0.565,Rock
0.0004769999999999,0.502,233298.0,0.8170000000000001,0.0,C,0.153,-3.508,Major,0.0447,90.024,0.617,Rock
0.969,0.414,180600.0,0.182,0.00069,G,0.853,-15.528,Major,0.036,70.524,0.423,Rock
0.0116,0.528,208067.0,0.888,0.762,D,0.154,-6.039,Major,0.0326,145.971,0.897,Rock
0.0168,0.6609999999999999,216667.0,0.8740000000000001,0.0,F,0.41,-5.904,Minor,0.0456,127.915,0.682,Rock
0.514,0.408,250713.0,0.642,0.0105,D,0.0907,-9.795,Major,0.14,179.892,0.436,Rock
0.000668,0.4379999999999999,446146.0,0.687,0.0801,G,0.42,-9.15,Major,0.0619,103.01,0.426,Rock
0.471,0.503,160360.0,0.62,0.0,B,0.159,-6.069,Major,0.0295,116.595,0.713,Rock
0.000667,0.5529999999999999,240006.0,0.885,0.00072,C,0.209,-4.063,Major,0.0385,96.025,0.484,Rock
