all_credits_amount,real_estate_amount
674894.2998044329,21000
480962.79995338,0
578442.7498870482,33000
143229.4990990991,0
962505.4998903509,36000
447512.4997732426,12000
209778.499796334,15000
228024.99979550103,0
217439.4998193859,21000
721865.4998688238,27000
288791.9998752599,0
442087.499911946,36000
270386.45993418165,36000
441950.999892396,0
143801.99947552447,36000
117782.99932735426,0
294923.1749669421,0
384327.4999157303,39000
513801.9993852459,0
386033.77499917865,0
279014.99983931443,36000
284547.24983416253,0
387782.0243562232,0
381930.999767622,0
429876.19917355373,21000
337803.49999917863,45000
280613.9979310345,21000
97418.43983314793,45000
252745.49964114832,18000
281656.0996710526,36000
130236.49984520124,0
187361.99758064517,48000
145400.15980903883,27000
41091.49993197279,0
385245.4996818664,27000
173949.99988536493,0
548057.1496887967,18000
812956.2998963373,0
1135574.259815271,15000
114976.99955290611,45000
110672.99988653556,12000
605194.4994736842,36000
185313.57441291586,0
232836.99949832776,0
529829.9998714102,18000
290932.4997260274,30000
252898.49977289932,0
512076.2497790869,0
137931.9993710692,0
765823.6793548388,30000
479607.4999050032,0
381503.9999394062,0
1074152.0999460141,0
125925.24999917863,0
173550.77999917863,0
633238.7499586834,21000
302203.9999060739,24000
265574.4996531792,30000
710292.9999991786,36000
141637.9996822034,39000
338721.29963280295,12000
115252.99995479886,48000
328987.9999550157,21000
322165.59990240727,0
429089.4697576736,0
396496.9998964088,12000
214961.49989312433,0
228302.9993362832,33000
149156.49982558138,12000
634248.9998233216,0
510564.99999917863,0
223290.72488970586,48000
724559.5899991785,24000
362201.39986376016,21000
150608.49989615785,0
228422.99999917863,36000
638942.7495912807,24000
306973.19960106385,27000
163015.19968911915,0
493477.4998238403,45000
264632.99971883785,39000
296054.9998590888,39000
678563.6099221992,42000
263188.9990936556,15000
294345.9999037227,12000
643168.9993377484,42000
737917.9992385787,0
215201.96990928333,30000
372286.8499991786,48000
441343.49984051037,0
611524.4983606557,33000
505389.499756691,0
254314.49981840194,12000
289986.4998652291,39000
389137.4998916576,0
