total_area,living_area,ceil_height,rooms_number,city_center_distance,years_after_repair,price
72.0,39.6,2.8,3.0,4.1,8.0,4819200.0
61.9,32.2,2.8,2.0,8.2,4.0,3736870.0
122.0,54.9,3.1,5.0,8.1,0.0,8598200.0
57.9,31.8,3.2,1.0,3.4,9.0,2552410.0
140.0,61.6,2.8,4.0,5.0,4.0,8570000.0
104.4,55.3,2.9,5.0,8.5,6.0,5999040.0
153.0,87.2,3.0,7.0,5.2,11.0,8158500.0
62.1,40.4,2.7,2.0,11.4,5.0,3177510.0
53.0,22.8,2.9,1.0,3.5,7.0,3555200.0
97.0,48.5,3.0,3.0,6.7,4.0,5427200.0
129.9,52.0,3.1,5.0,3.8,16.0,6165630.0
74.2,45.3,2.7,3.0,7.0,3.0,4371980.0
74.1,29.6,2.7,2.0,0.9,6.0,5050460.0
58.1,32.5,3.1,1.0,7.6,2.0,3941140.0
64.4,25.8,2.7,3.0,3.7,6.0,4565360.0
73.0,35.8,2.9,4.0,7.1,3.0,3711900.0
91.1,41.9,2.8,3.0,6.5,8.0,4832280.0
59.6,25.0,3.0,1.0,3.7,1.0,3958440.0
57.3,32.1,3.2,1.0,4.6,3.0,3800920.0
75.7,38.6,2.7,3.0,13.4,5.0,4928830.0
72.3,45.5,2.8,4.0,3.8,1.0,3580910.0
69.1,39.4,2.7,3.0,5.5,4.0,4811790.0
71.0,41.2,3.0,3.0,8.4,1.0,4677100.0
88.0,35.2,2.8,2.0,5.1,1.0,6116800.0
73.0,37.2,2.9,3.0,10.2,7.0,4728200.0
65.8,36.2,2.7,3.0,7.0,9.0,3089520.0
54.0,25.9,2.7,1.0,6.8,3.0,3657400.0
62.1,30.4,2.8,2.0,3.6,5.0,3286320.0
66.0,38.3,2.9,3.0,5.6,1.0,4379400.0
75.4,43.7,2.8,3.0,6.9,8.0,3786680.000000001
113.7,45.5,2.9,3.0,5.9,6.0,7295420.0
87.8,43.9,3.2,3.0,4.4,19.0,4491940.0
64.8,36.9,3.1,3.0,12.7,19.0,4058000.0
79.3,51.5,2.7,2.0,3.6,1.0,4983160.0
87.5,56.9,2.9,3.0,4.7,3.0,4821250.0
78.0,40.6,2.8,2.0,5.5,5.0,3452600.0
64.3,30.9,3.4,3.0,12.6,2.0,4264430.0
126.6,54.4,2.7,5.0,6.0,3.0,7124080.0
61.0,28.1,2.7,2.0,10.2,5.0,2895000.0
61.3,32.5,2.7,2.0,3.8,1.0,3501250.0
115.0,59.8,2.9,5.0,6.8,7.0,7149000.0
47.7,19.1,3.0,1.0,7.1,14.0,3509020.0
65.0,32.5,3.3,3.0,4.1,7.0,4527500.0
80.8,35.6,3.1,4.0,7.6,2.0,5291520.0
57.6,34.6,2.9,2.0,0.5,4.0,3397280.0
58.3,24.5,2.7,2.0,4.7,3.0,4022980.0
72.8,41.5,2.8,4.0,3.6,3.0,3464400.0
117.0,58.5,3.1,3.0,1.8,1.0,8344800.0
57.0,35.9,2.7,2.0,4.0,1.0,4018400.0
63.4,34.9,3.1,2.0,1.2,6.0,3510080.0
54.0,23.8,3.0,1.0,1.3,2.0,3175400.0
88.6,48.7,2.8,3.0,9.4,12.0,4354300.0
78.5,43.2,2.9,3.0,7.3,4.0,4240200.0
44.4,23.1,3.2,1.0,6.2,7.0,2751840.0
62.6,30.7,2.9,2.0,13.2,3.0,2971780.0
39.1,23.5,2.8,2.0,5.4,2.0,2385930.0
100.3,46.1,3.2,3.0,7.7,9.0,5976440.0
43.4,26.9,3.4,1.0,11.5,2.0,3072300.0
65.0,41.0,2.9,3.0,10.2,2.0,4238000.0
65.0,33.1,2.7,2.0,6.6,4.0,3153000.0
59.0,34.2,2.7,2.0,6.4,14.0,3785400.0
66.1,34.4,3.4,2.0,8.0,4.0,3773290.0
100.5,61.3,2.7,4.0,3.5,9.0,5667500.0
65.6,42.6,3.2,3.0,3.1,3.0,3207519.9999999995
70.4,31.7,2.7,3.0,1.1,19.0,3332000.0000000005
62.4,39.3,2.7,2.0,9.4,9.0,2678560.0
98.0,59.8,2.8,3.0,8.7,1.0,5702800.0
68.4,34.9,3.1,2.0,8.5,12.0,2751000.0000000005
65.1,37.1,3.1,3.0,12.9,11.0,3133119.9999999995
77.0,37.7,2.7,3.0,5.6,0.0,5392400.0
58.6,24.6,2.9,2.0,7.4,0.0,2996260.0
55.2,29.3,2.8,2.0,6.1,6.0,3262960.0
61.0,34.2,2.7,3.0,8.5,3.0,4437500.0
74.7,36.6,2.9,4.0,3.6,9.0,3952480.0
69.2,31.8,2.8,2.0,5.8,0.0,4329600.0
55.0,30.3,2.7,2.0,10.7,5.0,2972000.0
69.0,37.3,3.0,3.0,12.3,4.0,2930500.0
88.4,52.2,2.7,2.0,4.1,11.0,4785920.0
84.6,34.7,3.0,4.0,4.9,15.0,4180700.0
94.4,53.8,3.0,4.0,6.5,6.0,6140800.0
69.2,36.7,3.5,2.0,2.2,8.0,3413520.0
64.8,33.0,2.8,2.0,5.0,4.0,4706160.0
91.0,41.9,2.7,4.0,8.8,10.0,4937500.0
74.8,47.9,2.7,4.0,0.7,15.0,4564240.0
66.6,42.6,3.0,3.0,10.5,4.0,3746280.0
63.6,38.8,3.0,2.0,5.2,10.0,3924360.0
57.0,35.9,2.8,1.0,5.5,4.0,4196100.0
66.8,33.4,3.0,2.0,0.2,7.0,4381520.0
59.0,23.6,2.8,2.0,2.3,4.0,3975700.0
98.4,44.3,2.8,3.0,6.9,3.0,5788320.0
48.2,28.9,2.7,1.0,7.4,2.0,1910420.0
50.3,32.2,3.0,2.0,9.4,2.0,3922850.0
71.0,40.5,3.1,2.0,6.8,2.0,3720000.0
59.5,32.1,3.1,2.0,5.5,6.0,4252650.0
58.4,25.1,2.9,2.0,5.6,14.0,2749440.0
71.0,40.5,2.8,3.0,10.5,9.0,3850700.0
97.0,55.3,3.2,4.0,7.9,14.0,4214900.0
66.7,31.3,2.9,2.0,2.6,2.0,3818760.0
64.0,28.2,2.7,2.0,3.1,6.0,3523200.0
72.0,43.2,3.1,3.0,6.1,3.0,3756800.0
58.2,29.7,3.1,1.0,5.1,3.0,3582000.0
94.4,56.6,3.4,3.0,4.6,6.0,6336800.0
75.0,32.2,3.1,4.0,3.4,10.0,3875000.0
64.1,38.5,2.7,3.0,8.8,3.0,4123960.0
72.1,31.7,2.7,3.0,5.5,8.0,4282490.0
66.4,31.2,2.7,2.0,6.1,4.0,3427840.0000000005
88.0,56.3,2.8,3.0,4.2,6.0,5412400.0
174.8,111.9,3.2,7.0,9.2,5.0,10111160.0
82.0,41.0,3.4,2.0,3.6,9.0,4222400.0
66.2,42.4,3.2,2.0,5.9,5.0,3189320.0
51.3,29.2,3.0,1.0,6.3,13.0,2418380.0
68.6,32.2,3.4,3.0,8.6,5.0,3982860.0
61.5,30.8,3.1,3.0,4.5,4.0,3653750.0
81.0,47.8,2.8,4.0,11.1,4.0,3510200.0
63.2,39.8,3.0,2.0,12.8,9.0,3350560.0
67.4,40.4,3.1,2.0,5.2,1.0,3402500.0
75.2,43.6,2.7,2.0,4.4,10.0,3400880.0
53.6,28.9,2.7,1.0,7.8,4.0,3050160.0
54.9,26.4,3.2,2.0,4.2,2.0,3177520.0
65.7,38.8,2.8,3.0,6.3,4.0,3424610.0
53.4,23.0,3.2,1.0,1.5,4.0,2708860.0
73.5,43.4,2.7,3.0,9.3,1.0,4890350.0
78.3,46.2,3.0,3.0,4.6,10.0,4874330.0
70.0,40.6,2.8,2.0,6.6,5.0,4617000.0
64.0,34.6,3.0,3.0,8.6,12.0,2736400.0
63.0,37.2,3.3,3.0,10.2,6.0,2871700.0
79.0,44.2,2.8,3.0,5.4,6.0,4809300.0
69.2,35.3,3.2,2.0,8.4,1.0,5228120.0
59.3,33.2,2.7,2.0,7.9,2.0,3289750.0
47.6,20.9,3.0,1.0,5.7,3.0,1940760.0
62.7,39.5,2.8,3.0,3.7,3.0,3331840.0
65.0,34.5,2.9,3.0,4.6,7.0,3217000.0
67.1,40.3,2.9,2.0,9.7,3.0,4280890.0
45.1,21.6,2.8,1.0,6.2,3.0,1889920.0
48.0,20.2,3.2,1.0,7.4,1.0,2469200.0
34.0,17.7,3.2,1.0,1.2,1.0,1708200.0
78.4,40.8,2.7,4.0,5.4,8.0,4556080.0
70.9,41.1,3.3,3.0,5.6,5.0,4953100.0
60.0,25.2,2.9,2.0,3.2,1.0,3548000.0
94.5,39.7,3.5,4.0,7.3,4.0,5923400.0
58.5,27.5,3.0,2.0,8.1,1.0,3831900.0
65.0,39.6,2.7,2.0,6.1,2.0,3722000.0
48.7,21.9,3.0,2.0,11.7,11.0,2151620.0
52.0,23.9,3.3,2.0,9.3,5.0,3924400.0
61.0,30.5,2.9,3.0,7.4,9.0,3512600.0
136.3,65.4,2.7,4.0,6.4,6.0,8318280.000000001
82.9,49.7,3.3,2.0,1.4,6.0,4716380.0
60.0,24.6,2.9,2.0,5.9,2.0,3882000.0
81.0,34.0,2.8,3.0,9.7,15.0,3015200.0
62.2,37.3,2.8,3.0,4.5,4.0,4244920.0
77.8,32.7,2.8,3.0,7.2,11.0,4753440.0
