total_area,living_area,ceil_height,rooms_number,city_center_distance,years_after_repair
61.7,33.3,2.8,2.0,4.8,8.0
54.4,34.3,3.1,2.0,7.1,7.0
64.7,32.4,3.5,3.0,7.3,3.0
89.1,56.1,2.8,3.0,6.4,4.0
100.4,55.2,2.7,5.0,0.6,6.0
64.0,28.8,2.9,3.0,7.7,7.0
67.4,36.4,2.8,3.0,8.1,3.0
98.5,51.2,2.7,4.0,9.8,8.0
65.2,37.2,3.2,2.0,5.3,10.0
71.0,36.9,2.7,3.0,9.7,3.0
78.6,47.9,2.9,4.0,5.5,8.0
64.7,42.1,2.7,3.0,7.3,1.0
62.0,32.2,3.1,2.0,9.1,6.0
58.0,27.3,2.8,2.0,8.5,7.0
39.8,25.9,2.8,1.0,4.1,16.0
59.6,31.6,3.2,1.0,4.4,2.0
66.0,37.6,3.3,3.0,8.1,2.0
61.0,28.7,2.7,2.0,4.9,12.0
86.0,43.0,3.1,3.0,3.7,2.0
71.0,40.5,2.8,4.0,4.1,5.0
37.7,21.5,2.8,2.0,1.4,8.0
68.1,34.0,2.7,3.0,0.8,4.0
81.3,37.4,2.7,3.0,5.7,0.0
60.1,26.4,2.7,2.0,7.6,4.0
79.5,36.6,2.7,3.0,5.6,10.0
57.0,33.1,2.8,2.0,5.4,15.0
89.0,47.2,2.7,4.0,5.5,2.0
68.9,44.8,3.2,2.0,4.9,11.0
66.5,33.2,3.0,2.0,5.6,6.0
52.9,25.4,3.3,2.0,3.5,2.0
152.0,63.8,2.7,7.0,9.5,4.0
85.0,48.4,3.2,3.0,8.1,3.0
55.4,31.6,3.5,2.0,8.5,1.0
57.5,24.1,2.9,1.0,9.8,5.0
51.7,31.5,2.8,2.0,4.4,3.0
65.0,37.1,2.7,2.0,7.3,1.0
70.1,42.8,3.2,2.0,1.1,6.0
67.0,28.1,3.1,2.0,11.3,3.0
56.3,35.5,2.8,2.0,0.2,17.0
67.8,40.7,3.2,3.0,5.3,4.0
59.2,30.8,3.0,1.0,2.1,7.0
66.0,28.4,2.7,3.0,7.1,9.0
66.0,29.7,2.9,2.0,7.7,2.0
58.0,31.3,3.2,2.0,2.5,4.0
69.7,27.9,2.7,3.0,8.8,5.0
59.0,36.6,3.1,2.0,5.7,1.0
68.7,32.3,3.0,3.0,5.3,19.0
183.7,91.8,2.8,6.0,9.5,3.0
65.0,40.3,2.8,3.0,4.5,2.0
63.7,37.6,3.4,3.0,5.6,3.0
75.5,44.5,3.2,4.0,6.6,8.0
68.9,40.7,2.7,2.0,9.4,11.0
66.3,29.2,2.9,2.0,4.4,11.0
71.0,34.1,2.9,3.0,1.5,1.0
99.0,64.3,3.5,3.0,5.6,11.0
66.0,31.0,3.5,3.0,2.0,11.0
61.6,34.5,3.2,2.0,2.9,8.0
57.4,25.8,3.4,2.0,5.1,9.0
150.0,93.0,2.9,5.0,3.2,4.0
58.9,38.3,2.8,2.0,5.4,3.0
83.3,50.8,2.8,3.0,7.8,10.0
54.4,21.8,3.0,2.0,8.3,6.0
95.1,40.9,2.9,2.0,5.3,3.0
98.2,51.1,3.0,3.0,2.1,2.0
124.0,57.0,2.8,4.0,6.4,4.0
110.0,49.5,2.9,3.0,11.8,3.0
66.9,40.8,3.0,2.0,4.9,13.0
67.0,35.5,3.2,3.0,9.8,2.0
68.2,28.6,2.8,3.0,4.8,2.0
73.5,47.8,2.9,4.0,7.1,4.0
57.7,24.2,3.1,1.0,9.4,3.0
60.3,36.8,2.8,3.0,6.7,12.0
63.8,30.6,2.7,2.0,5.2,1.0
73.0,43.1,3.2,4.0,1.5,0.0
62.0,25.4,3.3,2.0,4.5,4.0
64.0,30.1,3.0,3.0,6.6,8.0
66.3,32.5,2.9,3.0,5.9,3.0
62.3,36.1,3.0,2.0,6.4,11.0
64.6,40.7,2.8,3.0,4.6,8.0
67.0,37.5,2.8,3.0,8.3,8.0
67.5,33.1,3.2,3.0,9.0,9.0
58.0,34.2,2.7,1.0,9.1,3.0
67.0,28.1,3.5,3.0,5.8,3.0
61.0,34.2,2.9,3.0,5.3,7.0
88.7,40.8,3.2,3.0,3.6,6.0
60.0,25.8,3.0,1.0,5.4,12.0
62.8,32.0,2.7,2.0,0.8,5.0
56.0,34.7,3.1,2.0,8.1,4.0
87.0,43.5,2.7,3.0,3.4,3.0
78.0,43.7,3.0,4.0,7.2,7.0
90.7,48.1,2.7,3.0,6.9,1.0
57.4,23.5,2.9,2.0,5.5,9.0
67.7,30.5,3.0,3.0,6.6,3.0
59.0,24.8,2.7,2.0,8.5,14.0
64.0,32.6,3.2,3.0,2.9,6.0
106.6,62.9,3.4,4.0,10.3,6.0
55.5,22.2,3.2,1.0,5.8,9.0
68.0,27.2,3.2,2.0,9.2,3.0
63.6,40.7,2.9,2.0,11.4,3.0
99.7,53.8,3.1,3.0,5.5,3.0
57.0,30.2,3.0,2.0,10.3,5.0
110.0,52.8,2.7,3.0,5.4,3.0
65.0,36.4,3.0,3.0,2.8,7.0
55.5,33.9,3.3,1.0,5.4,1.0
84.0,54.6,2.7,4.0,4.6,0.0
69.2,33.2,3.1,2.0,8.0,1.0
73.5,39.0,2.7,3.0,6.4,1.0
59.4,37.4,3.3,2.0,6.0,2.0
60.0,38.4,2.9,2.0,1.4,4.0
64.3,41.8,2.9,3.0,9.7,7.0
30.4,13.1,2.9,1.0,1.9,5.0
67.0,36.2,3.1,3.0,13.8,5.0
65.5,30.8,2.7,3.0,4.9,3.0
50.8,24.9,2.7,1.0,9.0,5.0
63.9,28.8,3.3,2.0,7.6,9.0
55.0,26.4,2.9,1.0,5.2,6.0
66.0,42.2,2.8,2.0,5.8,3.0
56.0,36.4,2.8,2.0,0.9,6.0
70.0,39.9,2.7,3.0,3.1,12.0
58.0,30.7,2.8,2.0,1.3,10.0
73.1,32.9,3.2,2.0,5.4,9.0
61.1,26.3,3.3,3.0,6.5,3.0
66.0,33.0,2.7,2.0,5.4,1.0
65.0,30.6,3.0,2.0,5.8,9.0
62.4,30.0,2.8,3.0,8.7,3.0
91.0,47.3,3.0,2.0,4.6,6.0
67.0,30.8,3.0,2.0,9.3,4.0
83.4,34.2,2.9,3.0,10.2,13.0
64.1,25.6,3.0,3.0,9.9,3.0
63.7,39.5,2.7,3.0,7.6,4.0
53.6,21.4,2.8,2.0,10.2,12.0
61.0,28.1,3.5,2.0,9.3,6.0
58.0,26.7,2.8,2.0,5.5,4.0
59.0,29.5,2.9,1.0,5.8,9.0
102.6,41.0,2.7,3.0,3.4,3.0
61.0,28.1,2.7,2.0,11.8,8.0
56.4,25.9,2.7,2.0,5.1,9.0
65.0,28.6,2.7,3.0,4.5,2.0
92.0,41.4,3.3,3.0,6.0,11.0
129.7,64.8,2.7,5.0,4.3,6.0
65.0,28.6,2.9,3.0,7.6,3.0
67.6,27.7,2.8,2.0,6.9,7.0
62.1,40.4,3.5,2.0,7.2,10.0
72.0,38.9,2.8,3.0,3.6,16.0
44.0,24.6,2.8,1.0,4.8,4.0
67.0,34.2,3.3,2.0,7.2,4.0
65.5,26.9,2.9,2.0,12.9,6.0
131.4,55.2,2.7,4.0,0.9,3.0
70.0,37.8,2.7,2.0,11.1,9.0
77.0,47.7,3.0,2.0,8.1,2.0
66.2,41.0,2.8,3.0,7.3,0.0
69.3,38.1,2.7,2.0,10.2,9.0
54.4,33.7,2.7,2.0,7.8,4.0
50.3,32.2,3.0,2.0,9.4,2.0
68.0,33.3,2.8,3.0,7.3,5.0
72.3,28.9,2.8,3.0,6.5,3.0
68.7,43.3,3.3,2.0,4.8,2.0
63.0,32.1,3.2,3.0,12.3,0.0
65.3,35.3,3.3,3.0,7.4,5.0
54.9,24.2,3.1,2.0,9.3,11.0
112.6,46.2,3.0,3.0,8.8,15.0
67.4,39.1,2.8,3.0,5.3,13.0
66.0,27.1,2.8,2.0,0.6,11.0
89.2,36.6,3.1,4.0,8.7,2.0
65.0,37.1,3.1,2.0,6.8,8.0
82.4,41.2,2.8,4.0,0.7,3.0
58.2,25.6,3.1,1.0,6.3,7.0
52.0,23.4,2.7,2.0,6.0,4.0
69.6,41.8,2.7,2.0,5.0,2.0
52.6,32.1,2.7,2.0,5.8,5.0
68.9,28.2,2.8,2.0,2.3,3.0
53.1,21.8,2.8,2.0,3.8,3.0
77.0,37.7,3.2,2.0,5.4,1.0
72.0,30.2,2.7,3.0,3.8,2.0
75.0,42.0,2.7,4.0,8.3,8.0
56.1,22.4,2.9,2.0,8.1,1.0
63.8,30.0,2.7,2.0,8.6,5.0
61.4,37.5,3.1,2.0,4.9,2.0
73.7,39.1,3.0,2.0,6.7,6.0
137.7,73.0,2.7,4.0,5.0,4.0
64.0,41.6,2.9,2.0,3.3,1.0
69.7,39.7,2.7,3.0,5.8,12.0
62.8,31.4,2.8,2.0,5.9,4.0
37.1,23.7,2.7,2.0,6.4,6.0
59.0,33.0,2.8,2.0,0.5,16.0
49.0,31.4,2.8,1.0,8.5,13.0
86.0,44.7,2.7,3.0,7.8,3.0
38.6,24.3,2.9,1.0,2.5,4.0
61.3,27.6,3.0,3.0,6.8,8.0
62.5,26.9,2.8,2.0,9.3,8.0
69.5,41.7,2.9,3.0,5.8,7.0
69.3,36.7,3.0,2.0,4.8,5.0
57.7,26.5,2.7,1.0,7.3,2.0
51.8,33.7,2.9,2.0,6.5,17.0
39.0,16.8,2.9,2.0,4.7,15.0
69.0,40.0,2.8,2.0,5.6,5.0
60.2,33.7,2.9,3.0,4.7,0.0
76.0,46.4,2.7,3.0,7.6,1.0
83.4,50.9,3.0,2.0,9.8,2.0
152.4,68.6,2.9,7.0,4.7,6.0
92.4,47.1,2.9,4.0,2.7,11.0
81.0,35.6,3.4,2.0,5.6,5.0
114.2,46.8,2.9,5.0,5.4,3.0
58.2,29.7,3.1,1.0,5.1,3.0
89.2,58.0,2.8,3.0,6.2,9.0
65.0,35.8,3.1,2.0,1.9,10.0
85.4,37.6,2.7,4.0,4.7,12.0
70.6,44.5,2.8,3.0,8.8,2.0
63.0,25.2,2.7,2.0,9.7,1.0
93.0,51.2,2.7,3.0,3.7,1.0
80.0,35.2,3.0,3.0,9.0,1.0
63.5,27.3,2.7,2.0,5.5,6.0
63.0,25.8,3.5,2.0,3.5,6.0
69.0,33.1,2.8,3.0,6.4,3.0
100.2,59.1,2.9,5.0,3.9,7.0
65.8,36.2,3.5,3.0,5.8,2.0
105.2,47.3,3.0,4.0,4.4,4.0
105.2,60.0,2.7,4.0,7.9,6.0
64.5,31.0,2.8,3.0,6.5,1.0
68.3,32.1,3.3,2.0,8.8,6.0
74.0,43.7,3.3,3.0,7.1,6.0
61.4,30.7,2.7,2.0,7.1,14.0
67.0,30.2,2.7,3.0,5.3,7.0
80.0,35.2,2.7,4.0,5.4,4.0
48.0,19.7,2.7,1.0,9.0,8.0
53.0,33.4,2.8,2.0,6.0,3.0
71.2,43.4,3.2,3.0,6.7,9.0
60.4,26.0,2.9,2.0,6.5,2.0
47.4,19.0,3.1,1.0,3.1,9.0
63.0,40.3,2.8,2.0,7.4,2.0
99.4,49.7,3.2,4.0,6.5,6.0
62.3,39.9,2.8,2.0,4.3,2.0
66.4,27.2,2.7,2.0,5.0,4.0
52.4,30.4,2.7,2.0,6.6,2.0
115.0,71.3,2.8,5.0,3.7,6.0
69.3,44.4,3.1,3.0,6.3,8.0
44.4,23.5,3.2,2.0,10.2,4.0
65.8,30.3,2.9,3.0,8.1,3.0
63.0,25.8,2.8,2.0,6.4,4.0
79.6,50.9,2.7,3.0,8.9,3.0
58.0,34.2,3.1,2.0,2.0,0.0
62.1,26.1,2.9,2.0,7.4,1.0
62.9,39.0,3.5,2.0,9.5,14.0
58.0,37.7,3.2,2.0,7.6,7.0
65.5,40.0,3.3,2.0,6.3,9.0
66.8,36.1,3.1,2.0,5.4,2.0
62.0,25.4,2.8,3.0,5.3,10.0
103.2,41.3,3.0,5.0,2.2,5.0
85.0,45.0,3.3,3.0,3.8,2.0
83.4,46.7,2.7,3.0,6.7,5.0
73.6,33.1,2.9,4.0,6.4,4.0
67.8,27.8,3.1,2.0,7.5,1.0
75.0,36.8,2.7,3.0,7.7,7.0
88.6,52.3,2.8,3.0,0.6,15.0
57.5,31.0,2.8,2.0,4.5,17.0
67.0,27.5,2.7,3.0,11.2,3.0
64.0,31.4,2.7,2.0,0.5,3.0
