name,platform,year_of_release
Monopoly,PC,1994-01-01
SimCity 2000,PC,1992-01-01
Monopoly,Wii,2008-01-01
Monopoly,PS,1997-01-01
SimCity 2000,PS,1996-01-01
Terraria,X360,2013-01-01
Monopoly,X360,2008-01-01
SimCity 2000,SNES,1995-01-01
Monopoly,PS2,2008-01-01
Terraria,PS3,2013-01-01
Monopoly,PS3,2008-01-01
SimCity 2000,SAT,1994-01-01
Monopoly,DS,2010-01-01
Monopoly,N64,1999-01-01
Terraria,PC,2011-01-01
SimCity 2000,GBA,2003-01-01
Terraria,PSV,2013-01-01
Terraria,3DS,2016-01-01
Terraria,PS4,2014-01-01
Terraria,XOne,2014-01-01
Terraria,WiiU,2016-01-01
