score,duration,promo,robocats,label
2,0.01,0,0,1
10,0.31,0,0,0
5,0.3,0,0,2
10,0.29,1,0,0
0,0.37,0,0,1
0,0.57,0,0,1
0,0.04,0,0,1
0,0.26,0,0,1
10,0.21,1,0,0
10,0.57,1,0,0
9,0.29,1,0,0
0,0.2,0,0,1
0,0.98,0,0,1
10,0.93,1,0,0
4,0.25,1,0,2
5,0.25,0,0,2
2,0.38,0,0,1
1,0.62,0,0,1
10,0.27,1,0,0
10,0.18,1,0,0
0,0.13,0,0,1
3,0.26,0,0,1
10,0.48,1,0,0
5,0.67,0,0,2
3,0.64,1,0,1
7,0.26,0,0,2
10,0.02,1,0,0
10,0.11,0,0,0
1,0.26,0,0,1
0,0.56,0,0,1
4,0.03,0,0,2
0,0.28,0,0,1
10,0.13,1,0,0
7,0.3,1,0,2
8,2.23,0,1,0
5,0.42,0,0,2
8,0.91,1,0,0
10,0.11,1,0,0
7,0.46,1,0,2
1,0.05,0,0,1
1,1.08,0,0,1
3,0.24,0,0,1
2,0.29,0,0,1
4,1.6,0,0,2
6,0.51,1,0,2
9,0.03,1,0,0
10,0.1,0,0,0
0,0.41,0,0,1
8,0.63,1,0,0
7,3.45,1,0,2
10,0.1,1,0,0
7,0.54,1,0,2
8,0.27,1,0,0
0,0.01,0,0,1
8,0.26,1,0,0
0,0.08,0,0,1
5,1.62,1,0,2
3,0.72,0,0,1
0,0.22,0,0,1
10,1.04,1,0,0
4,1.03,0,0,2
0,0.82,0,0,1
4,0.05,0,0,2
8,0.54,1,0,0
3,0.29,0,0,1
10,0.57,1,0,0
9,0.3,1,0,0
5,0.45,0,0,2
0,8.71,0,9,4
7,0.7,0,0,2
0,0.44,0,0,1
0,0.11,0,0,1
1,0.36,0,0,1
6,0.35,0,0,2
5,0.12,0,0,2
10,0.52,1,0,0
2,0.11,0,0,1
5,6.35,0,1,2
0,0.61,0,0,1
0,0.01,0,0,1
7,0.17,1,0,2
6,0.73,1,0,2
10,0.24,1,0,0
2,0.14,0,0,1
2,1.34,0,0,1
10,1.33,0,1,0
10,0.6,1,0,0
