id,Пол,Возраст,Путешествует с детьми,Путешествует по работе,Тип,Расстояние,Покупка билета онлайн,Питание включено,Наличие wifi,Оценка комфортности места,Оценка качества уборки,Оценка качества обслуживания в пути,Удовлетворён предоставленной услугой
23224169,муж,28,нет,да,купе,2415,1,0,1,4,4,3,1
34061233,муж,51,да,нет,плацкарт,973,1,0,1,4,4,5,1
72412002,жен,36,нет,да,плацкарт,1416,1,1,0,2,2,3,1
39685985,жен,58,да,да,св,703,1,0,1,3,3,2,1
37903434,жен,46,нет,нет,плацкарт,162,1,1,1,1,2,3,1
26891396,жен,62,нет,нет,плацкарт,207,1,1,0,2,1,2,1
37303555,муж,26,нет,да,плацкарт,1583,1,1,0,4,1,3,1
88087566,муж,46,нет,нет,плацкарт,664,1,1,1,2,2,5,1
97745113,жен,41,нет,да,св,552,1,1,1,4,4,3,1
99182731,муж,49,нет,да,плацкарт,456,1,1,0,1,1,3,0
89310845,муж,25,нет,нет,плацкарт,537,0,1,0,2,2,4,1
31198602,жен,32,да,нет,плацкарт,716,0,1,0,3,3,3,1
68554828,муж,43,нет,да,плацкарт,629,1,1,1,4,4,4,1
71920271,муж,56,нет,да,плацкарт,1866,1,1,1,3,3,3,1
11215611,муж,42,да,да,св,768,1,0,1,4,4,4,1
27637478,муж,50,нет,нет,плацкарт,295,1,1,1,4,1,1,1
57960277,муж,25,нет,да,плацкарт,600,1,0,0,3,3,2,1
75550510,муж,27,нет,нет,плацкарт,898,1,1,0,5,5,4,1
94104718,жен,31,нет,нет,св,639,1,0,1,4,5,5,1
94319542,жен,34,нет,да,плацкарт,227,1,1,1,5,5,3,1
16232690,жен,52,нет,да,плацкарт,443,1,1,0,3,2,2,1
49204895,жен,63,нет,нет,купе,358,1,1,0,4,4,2,1
75945346,муж,50,нет,да,купе,1106,1,0,1,5,5,2,1
38139661,муж,70,нет,нет,плацкарт,1697,1,1,1,4,4,2,1
68224936,муж,20,нет,да,плацкарт,796,1,1,1,2,2,3,1
9092956,жен,35,нет,да,плацкарт,909,1,1,1,2,2,3,0
7811813,жен,22,нет,да,плацкарт,200,1,0,1,4,4,2,1
49433445,муж,58,да,нет,плацкарт,1072,1,1,1,5,5,4,1
39676991,муж,54,нет,нет,плацкарт,1148,1,1,0,4,4,4,1
98955969,муж,69,нет,нет,плацкарт,563,0,1,0,1,1,4,1
38247626,жен,31,да,нет,плацкарт,3821,1,1,1,3,3,4,1
30979917,муж,34,нет,нет,плацкарт,676,1,1,0,5,5,4,1
71275064,жен,40,нет,нет,купе,298,0,1,0,4,4,5,1
79285931,жен,30,нет,да,купе,657,0,1,0,3,4,3,1
24616383,жен,47,да,нет,плацкарт,126,1,1,0,4,4,4,1
28818054,муж,33,нет,да,плацкарт,405,1,1,1,3,1,3,1
73927017,муж,39,нет,нет,купе,436,1,0,1,1,1,3,1
66826118,муж,46,нет,да,св,274,1,1,1,3,4,3,1
54442436,муж,56,нет,нет,плацкарт,2652,1,1,0,5,5,4,1
81592704,муж,32,нет,нет,св,738,1,1,0,2,2,2,0
39978825,жен,38,нет,да,плацкарт,1158,1,0,0,4,5,3,1
80870736,жен,35,нет,нет,плацкарт,694,1,0,1,5,5,4,1
61470032,жен,34,нет,нет,плацкарт,871,1,0,0,2,2,4,0
83393001,муж,39,нет,да,плацкарт,342,1,1,1,5,5,3,1
26777566,муж,40,да,нет,плацкарт,464,1,0,1,2,2,4,0
20230509,муж,50,да,нет,св,905,1,1,1,1,1,4,1
91620917,жен,39,да,нет,плацкарт,379,1,0,1,5,5,3,1
53030651,муж,27,нет,да,плацкарт,951,1,1,1,5,5,2,1
5827140,жен,38,нет,нет,плацкарт,1286,1,1,0,1,1,4,0
78036773,жен,24,нет,да,плацкарт,410,1,1,1,1,3,4,1
88298657,жен,48,нет,да,купе,275,1,1,1,4,4,3,1
4217676,муж,29,нет,да,плацкарт,1164,1,0,0,1,1,4,1
87223712,муж,60,нет,нет,купе,1763,1,0,0,1,1,4,1
7740073,муж,21,нет,нет,плацкарт,1106,1,0,1,4,4,5,1
88116646,жен,60,нет,да,плацкарт,1624,1,1,0,2,2,3,0
39787972,жен,33,да,нет,плацкарт,1783,0,1,0,5,3,2,1
33133917,жен,31,нет,да,плацкарт,964,1,0,1,4,4,4,1
17925480,жен,64,да,да,св,3238,1,0,1,3,2,2,1
47648647,муж,31,да,нет,плацкарт,227,1,0,1,5,5,4,1
79589123,муж,29,нет,нет,плацкарт,371,1,0,0,2,2,4,1
65109361,жен,45,да,нет,плацкарт,858,1,0,1,4,4,4,1
57311056,муж,69,нет,нет,плацкарт,349,1,1,1,2,2,4,1
67619582,жен,38,нет,нет,плацкарт,1164,1,1,0,1,3,4,1
25097761,жен,52,нет,нет,плацкарт,2211,1,1,1,3,1,2,0
75534239,муж,38,нет,да,плацкарт,895,1,0,0,1,1,3,1
84451366,муж,36,нет,да,плацкарт,436,1,1,0,1,4,2,1
61182707,муж,64,нет,да,плацкарт,181,1,1,1,5,5,2,1
65988199,жен,27,нет,да,плацкарт,1050,1,1,0,1,1,3,0
36268823,муж,32,нет,нет,плацкарт,334,1,0,1,3,3,4,1
3601871,муж,18,нет,нет,плацкарт,668,1,1,0,4,4,2,1
39264611,муж,64,да,нет,плацкарт,1158,1,0,0,1,1,4,1
81278994,жен,18,нет,да,купе,521,1,0,0,5,5,3,1
15746145,муж,49,нет,да,плацкарт,292,1,1,1,4,4,2,1
71338084,муж,28,нет,нет,плацкарт,508,1,1,0,2,2,4,0
60877517,жен,23,нет,да,плацкарт,171,1,1,1,3,4,2,1
34868174,жен,38,да,нет,плацкарт,212,0,0,0,5,5,5,1
5447707,жен,49,нет,нет,плацкарт,159,1,1,1,5,5,4,1
44346127,жен,25,нет,да,плацкарт,1279,1,1,1,4,4,3,1
46921701,муж,40,да,нет,св,526,1,1,0,1,1,3,1
45093951,жен,30,да,нет,плацкарт,126,1,0,0,4,4,4,1
27151616,жен,18,нет,нет,плацкарт,2437,1,0,1,2,2,3,1
81981348,жен,38,нет,да,плацкарт,1120,1,1,1,5,5,3,1
99411419,муж,31,нет,нет,плацкарт,996,1,1,0,2,2,5,0
54008212,жен,62,нет,нет,плацкарт,352,1,1,1,5,5,3,1
71274861,жен,27,нет,нет,плацкарт,754,1,0,0,4,4,3,1
76697297,жен,24,нет,да,купе,1154,1,1,1,4,5,3,1
52490413,жен,36,нет,нет,плацкарт,1060,1,1,1,4,4,4,1
49629600,муж,51,нет,нет,плацкарт,453,1,1,0,1,4,4,1
98387843,муж,31,нет,нет,купе,1763,1,0,1,1,1,3,0
6313190,муж,29,нет,да,плацкарт,1014,1,0,1,4,4,3,1
85068103,жен,43,нет,нет,плацкарт,1073,1,0,0,3,3,1,1
57995430,муж,30,нет,нет,купе,730,1,0,0,4,5,4,1
12846531,жен,69,нет,да,купе,146,1,0,1,1,1,3,1
50192298,муж,32,да,нет,плацкарт,1099,1,1,0,4,4,4,1
26114973,жен,38,нет,да,плацкарт,834,1,1,1,5,5,3,1
20307705,муж,43,да,да,плацкарт,898,1,0,0,2,2,3,1
36745278,муж,63,нет,нет,плацкарт,489,1,1,1,1,3,2,1
22960349,жен,18,нет,да,плацкарт,284,1,1,0,4,4,3,1
56548239,жен,25,нет,да,купе,539,1,1,1,5,5,2,1
42199780,жен,53,нет,нет,плацкарт,730,1,1,1,5,3,5,1
30488401,жен,68,нет,нет,плацкарт,520,1,1,0,3,3,4,1
88173709,жен,28,нет,да,купе,717,1,0,1,5,5,3,1
56701355,муж,34,нет,нет,плацкарт,1427,1,1,0,5,5,4,1
62740422,жен,31,нет,да,плацкарт,599,1,1,1,3,3,3,1
83882661,жен,26,нет,да,купе,559,1,1,1,3,3,2,1
42524477,жен,21,нет,да,плацкарт,1403,1,0,1,1,5,4,1
89468780,муж,49,нет,нет,плацкарт,703,1,1,0,1,4,2,1
94045334,жен,28,нет,да,плацкарт,1326,1,0,0,2,2,3,1
41336478,муж,36,нет,да,плацкарт,213,1,0,0,2,3,3,1
40305438,муж,64,нет,нет,купе,261,0,1,0,3,3,4,1
23414912,жен,39,да,нет,плацкарт,294,1,1,1,1,1,2,0
42096966,жен,23,нет,да,плацкарт,1042,1,1,0,5,5,4,1
5261248,жен,49,нет,нет,плацкарт,2325,1,1,0,4,4,3,1
49055541,муж,48,нет,да,купе,1711,1,1,0,2,2,2,0
78655138,жен,35,нет,да,плацкарт,135,1,1,1,4,4,2,1
83899460,жен,43,нет,да,плацкарт,621,1,1,1,5,2,4,1
42958793,муж,29,нет,нет,плацкарт,637,1,1,0,5,5,4,1
44815740,жен,63,да,нет,плацкарт,234,0,0,0,5,5,3,1
66918594,муж,50,нет,да,купе,229,1,1,1,4,4,3,1
49294300,жен,49,да,да,плацкарт,994,1,1,1,3,3,3,1
28991757,жен,63,нет,нет,купе,302,1,1,0,4,3,4,1
64378743,жен,65,нет,нет,св,680,1,0,1,4,4,4,1
99105841,муж,60,да,да,св,1770,1,0,1,4,4,3,1
17096730,муж,22,нет,да,плацкарт,1390,1,1,1,1,1,2,0
70559087,жен,67,нет,нет,плацкарт,962,1,0,1,1,4,4,1
67032369,жен,34,нет,да,плацкарт,819,1,1,1,4,4,2,1
70776145,жен,34,да,нет,плацкарт,273,1,1,0,2,2,4,1
4234699,жен,31,нет,да,купе,1254,1,1,1,3,3,4,1
57575218,муж,46,да,нет,плацкарт,171,1,0,1,4,4,2,1
68397247,муж,19,нет,да,плацкарт,648,1,1,0,3,3,3,1
6707847,муж,32,нет,да,купе,962,1,0,1,4,4,4,1
27563794,жен,67,нет,нет,плацкарт,700,1,1,0,3,4,2,1
53521807,муж,27,нет,нет,плацкарт,799,1,0,1,1,1,4,0
34470655,жен,35,нет,да,св,1481,1,0,0,5,4,5,1
67555865,муж,46,да,нет,плацкарт,546,1,1,1,1,3,3,1
75615858,жен,34,нет,нет,плацкарт,1883,1,0,1,1,5,2,0
69633845,жен,42,нет,нет,плацкарт,393,1,1,0,4,4,2,1
93759741,муж,57,да,нет,плацкарт,2395,1,0,1,3,3,4,1
69416044,жен,54,нет,нет,плацкарт,516,1,1,0,2,5,4,1
47786653,муж,36,нет,нет,плацкарт,441,1,1,1,1,1,4,1
63597708,муж,68,нет,нет,купе,406,1,0,1,3,3,2,1
