id,Оценка комфортности покупки билета онлайн,Оценка качества питания,Оценка качества wifi,Оценка комфортности времени отправления/прибытия,Общая оценка качества предоставленной услуги
49085972,плохо,отсутствует,нормально,плохо,хорошо
37570912,хорошо,плохо,отсутствует,хорошо,плохо
58248478,плохо,отсутствует,отсутствует,хорошо,нормально
44135478,плохо,плохо,отсутствует,плохо,нормально
69568879,плохо,отсутствует,отсутствует,хорошо,нормально
15376785,плохо,нормально,отсутствует,плохо,нормально
91352855,нормально,отсутствует,плохо,нормально,нормально
24796068,нормально,отсутствует,плохо,нормально,плохо
92194499,плохо,нормально,отсутствует,хорошо,нормально
86349051,отсутствует,нормально,отсутствует,хорошо,хорошо
50669352,хорошо,плохо,хорошо,хорошо,хорошо
72442963,нормально,плохо,нормально,плохо,нормально
86796149,нормально,плохо,нормально,нормально,нормально
76889434,нормально,плохо,нормально,нормально,нормально
8058332,плохо,плохо,отсутствует,плохо,плохо
58590844,нормально,отсутствует,нормально,нормально,хорошо
40898255,нормально,отсутствует,нормально,нормально,хорошо
48519717,нормально,отсутствует,плохо,плохо,нормально
13398826,хорошо,отсутствует,отсутствует,хорошо,плохо
5489728,нормально,плохо,нормально,нормально,нормально
19508006,хорошо,плохо,хорошо,нормально,хорошо
84792965,плохо,нормально,отсутствует,нормально,нормально
16887749,нормально,нормально,плохо,нормально,нормально
69856923,нормально,нормально,плохо,хорошо,нормально
34958981,плохо,нормально,плохо,плохо,хорошо
69847967,хорошо,отсутствует,плохо,плохо,нормально
75954044,нормально,отсутствует,нормально,нормально,нормально
32979663,нормально,отсутствует,нормально,хорошо,хорошо
10088865,нормально,отсутствует,отсутствует,нормально,нормально
570157,нормально,нормально,нормально,нормально,нормально
32017756,нормально,нормально,плохо,хорошо,нормально
96039966,плохо,отсутствует,отсутствует,плохо,нормально
28649873,плохо,хорошо,отсутствует,нормально,нормально
95702515,нормально,отсутствует,нормально,нормально,нормально
23081968,нормально,нормально,плохо,хорошо,нормально
6468653,нормально,отсутствует,плохо,хорошо,нормально
67378880,нормально,хорошо,отсутствует,нормально,нормально
43520231,плохо,хорошо,отсутствует,нормально,нормально
14293497,плохо,отсутствует,отсутствует,хорошо,нормально
67886894,плохо,отсутствует,отсутствует,нормально,нормально
17872521,плохо,хорошо,отсутствует,хорошо,нормально
16227820,плохо,нормально,отсутствует,хорошо,нормально
99432856,плохо,отсутствует,отсутствует,плохо,нормально
9223386,нормально,хорошо,плохо,нормально,нормально
48027875,плохо,отсутствует,отсутствует,плохо,нормально
63172451,нормально,отсутствует,плохо,нормально,нормально
70951747,нормально,отсутствует,плохо,нормально,нормально
38680405,отсутствует,нормально,отсутствует,нормально,хорошо
5178498,плохо,отсутствует,отсутствует,плохо,нормально
63084951,плохо,нормально,отсутствует,хорошо,нормально
64001140,плохо,нормально,отсутствует,нормально,нормально
28998779,плохо,плохо,отсутствует,хорошо,нормально
42069377,нормально,нормально,плохо,хорошо,нормально
20851049,нормально,отсутствует,плохо,нормально,нормально
71205193,нормально,хорошо,плохо,хорошо,нормально
20660961,нормально,нормально,плохо,хорошо,нормально
55249107,нормально,отсутствует,плохо,нормально,нормально
21436541,плохо,плохо,отсутствует,хорошо,нормально
78435114,плохо,отсутствует,отсутствует,плохо,хорошо
92772554,нормально,плохо,плохо,хорошо,хорошо
95572876,нормально,отсутствует,плохо,нормально,нормально
26527744,плохо,плохо,отсутствует,нормально,нормально
2925186,отсутствует,отсутствует,плохо,плохо,нормально
42331381,отсутствует,нормально,отсутствует,плохо,нормально
76102884,плохо,отсутствует,отсутствует,нормально,нормально
61789314,хорошо,плохо,нормально,нормально,хорошо
41862344,плохо,хорошо,хорошо,плохо,хорошо
18152240,хорошо,нормально,нормально,хорошо,нормально
56971273,нормально,отсутствует,плохо,плохо,нормально
45272743,плохо,нормально,отсутствует,хорошо,нормально
44294101,хорошо,хорошо,плохо,плохо,плохо
37948949,плохо,хорошо,отсутствует,плохо,хорошо
99029853,плохо,отсутствует,отсутствует,нормально,нормально
32994866,нормально,плохо,отсутствует,нормально,нормально
88017072,нормально,отсутствует,нормально,нормально,хорошо
94557781,нормально,нормально,отсутствует,нормально,нормально
53721501,плохо,отсутствует,отсутствует,хорошо,нормально
94597106,плохо,плохо,отсутствует,нормально,нормально
73835640,нормально,плохо,нормально,нормально,нормально
15845574,плохо,хорошо,отсутствует,плохо,нормально
69595837,нормально,отсутствует,хорошо,нормально,хорошо
37596026,нормально,отсутствует,хорошо,нормально,нормально
98431699,нормально,отсутствует,плохо,нормально,нормально
50958307,нормально,нормально,плохо,нормально,плохо
42782776,нормально,нормально,плохо,хорошо,нормально
72481098,нормально,плохо,плохо,нормально,нормально
22667231,нормально,нормально,нормально,нормально,хорошо
80361872,плохо,нормально,отсутствует,нормально,нормально
33412819,плохо,плохо,плохо,хорошо,нормально
33556709,нормально,хорошо,плохо,хорошо,нормально
71690738,плохо,отсутствует,отсутствует,хорошо,нормально
50937701,хорошо,плохо,хорошо,нормально,хорошо
81458195,плохо,плохо,отсутствует,плохо,плохо
9765261,плохо,плохо,отсутствует,плохо,плохо
90939740,нормально,отсутствует,нормально,нормально,хорошо
43032738,плохо,плохо,отсутствует,плохо,плохо
16503541,плохо,нормально,плохо,нормально,плохо
23435715,нормально,хорошо,хорошо,нормально,хорошо
11188546,нормально,нормально,плохо,нормально,нормально
96561292,нормально,хорошо,отсутствует,нормально,нормально
36750029,плохо,плохо,отсутствует,нормально,нормально
66940097,нормально,нормально,нормально,нормально,хорошо
17295110,нормально,отсутствует,плохо,нормально,нормально
37157346,плохо,отсутствует,отсутствует,нормально,нормально
51812664,хорошо,нормально,плохо,хорошо,хорошо
99207937,хорошо,отсутствует,хорошо,хорошо,хорошо
87180600,нормально,отсутствует,нормально,плохо,нормально
30058252,плохо,плохо,отсутствует,нормально,плохо
2714961,плохо,отсутствует,нормально,плохо,хорошо
64516122,плохо,хорошо,отсутствует,хорошо,нормально
99729,нормально,отсутствует,нормально,плохо,нормально
41624293,нормально,плохо,плохо,нормально,нормально
37573706,отсутствует,хорошо,отсутствует,плохо,нормально
53276365,плохо,хорошо,отсутствует,хорошо,нормально
23306845,нормально,плохо,отсутствует,нормально,нормально
93192624,нормально,нормально,плохо,хорошо,нормально
36885912,плохо,нормально,плохо,плохо,нормально
34061233,нормально,отсутствует,хорошо,хорошо,хорошо
5212114,плохо,плохо,отсутствует,плохо,плохо
61981981,нормально,хорошо,хорошо,хорошо,нормально
71399193,нормально,нормально,отсутствует,хорошо,нормально
